Subfolder,Folio,Graphic Profile,Average Line Length (mm),Average Characters per Line,Standard Deviation (mm),Total Lines
btv1b84472995_f57,25r,GP1,63.21806000000001,43.02,2.1008154408623465,100
btv1b84472995_f141,64r,GP1,63.67018000000003,41.35,2.052737734014374,100
btv1b84472995_f173,83r,GP1,63.752730000000014,42.34,1.5472339761227742,100
btv1b84472995_f176,84v,GP1,64.97447,41.91,0.9863253730464155,100
btv1b84472995_f212,102r,GP1,64.893825,42.28,0.8868612892320795,100
btv1b84472995_f251,122r,GP1,63.072010000000006,43.13,2.6630205689036717,100
btv1b84472995_f290,141v,GP1,64.72110500000002,41.82,1.2332229502098326,100
btv1b84472995_f328,160v,GP1,64.41821000000002,42.43,0.7604172704190222,100
btv1b84472995_f347,170r,GP1,63.04536702127659,42.98936170212766,1.0295360088004872,94
btv1b84472995_f365,179r,GP1,62.22111000000001,43.32,0.88150139821245,100
btv1b84472995_f380,186v,GP1,64.39737362637362,42.956043956043956,0.7754172983819979,91
btv1b84472995_f405,199r,GP1,63.582549999999976,42.63,0.8397835745120295,100
btv1b84472995_f457,225r,GP1,63.75146000000002,41.31,0.8529414603285939,100
btv1b84472995_f483,238r,GP1,63.02184500000002,41.11,0.9388449778312659,100
btv1b84472995_f531,262r,GP1,64.78016000000001,42.45,0.8186240207034782,100
btv1b84472995_f538,265v,GP2,63.96566666666667,38.333333333333336,1.3432414029751543,6
btv1b84472995_f552,272v,GP1,63.41303260869567,42.358695652173914,0.9913975616767539,92
btv1b84472995_f557,275r,GP1,64.43281499999998,42.65,0.9201003943218987,100
btv1b84472995_f589,291r,GP2,66.05523999999998,38.95,1.1447845888853914,100
btv1b84472995_f601,297r,GP1,63.59144000000002,42.25,0.9295525813068032,100
btv1b84472995_f641,317r,GP1,63.85179000000001,42.61,1.0730256950899322,100
btv1b84472995_f660,326v,GP1,62.82597395833336,42.8125,2.0854265793203433,96
btv1b84472995_f678,335r,GP1,62.50114500000004,43.12,2.5153115288863295,100
btv1b84472995_f715,353r,GP2,64.84761111111108,36.82539682539682,1.3928712612292717,63
btv1b84472995_f716a,353va,GP2,65.33216176470589,37.0,1.4219783525639291,34
btv1b84472995_f716b,353vb,GP3,59.97575000000001,40.5,0.9302337095108657,30
btv1b84472995_f722,356v,GP1,62.357,41.6,3.2927605777253564,100
btv1b84472995_f723,357r,GP2,65.4923125,37.625,1.2054139153445746,72
btv1b84472995_f725,358r,GP2,65.30872580645159,37.96774193548387,1.6200378174533343,93
btv1b84472995_f761,376r,GP1,63.965454999999984,42.53,0.7549144412521943,100
btv1b84472995_f781,386r,GP2,65.85394500000001,39.02,1.2427770160374338,100
btv1b84472995_f786,388v,GP2,62.835789999999996,37.35,3.7594463729666527,100
btv1b84472995_f804,397v,GP2,62.615444999999994,39.85,4.210094502103416,100
btv1b84472995_f808,399v,GP2,63.02727777777778,38.898989898989896,4.148125563421303,99
btv1b84472995_f811,400r,GP2,66.47053,39.39,1.2965207322645944,100
btv1b84472995_f836,412v,GP2,62.96342499999996,38.78,4.695491498340173,100
btv1b84472995_f846,417v,GP2,62.50749500000003,37.59,4.485514510253191,100
btv1b84472995_f876,432v,GP2,62.87135000000003,38.22,5.997030172207213,100
btv1b84472995_f879,434r,GP2,67.64210499999997,37.72,1.9173574924919852,100
btv1b84472995_f888,438v,GP2,62.13474999999999,37.36363636363637,6.461733134206422,88
btv1b84472995_f889,439r,GP3,67.48804901960786,40.21568627450981,2.589617497343771,51
btv1b84472995_f890,439v,GP3,63.881,40.397260273972606,7.069199273471894,73
btv1b84472995_f893,441r,GP2,67.81462234042553,36.92553191489362,2.247792505737658,94
btv1b84472995_f899,444r,GP2,67.849115,37.38,2.37005658613669,100
btv1b84472995_f910,449v,GP2,65.69964,38.71,4.895935063587822,100
btv1b84472995_f924,456v,GP2,64.87731499999997,38.45,5.286011721752044,100
btv1b84472995_f926,457v,GP2,65.53136500000002,37.91,4.756466842894052,100
btv1b84472995_f940,464v,GP3,66.37153684210527,41.43157894736842,5.838145104562415,95
btv1b84472995_f943,466r,GP3,66.97869565217393,42.55072463768116,2.03712575815526,69
btv1b84472995_f945,467r,GP3,68.1866791044776,43.76119402985075,1.676128791295975,67
btv1b84472995_f950,469v,GP3,63.73693010752685,41.25806451612903,5.694618654251095,93
btv1b84472995_f955,472r,GP3,68.00342000000002,41.18666666666667,1.7317583628489563,75
btv1b84472995_f959,474r,GP3,67.7164,43.02,1.968344813042242,100
btv1b84472995_f960,44v,GP1,63.88290500000001,40.68,0.9527973559419127,100
btv1b84472995_f963,476r,GP3,67.92975999999997,40.52,1.7945112210923246,100
btv1b84472995_f966,477v,GP3,64.9024623655914,40.204301075268816,5.403316258898506,93
btv1b84472995_f969,479r,GP3,66.64806060606062,38.78787878787879,1.6499874696847106,66
btv1b84472995_f971,480r,GP3,67.5289328358209,40.507462686567166,1.7235373528833835,67
btv1b84472995_f972,480v,GP3,64.57827884615386,43.59615384615385,5.880598964435861,52
btv1b84472995_f973,481r,GP3,66.51752000000002,42.76,1.368403796004278,75
btv1b84472995_f975,482r,GP3,66.88073999999999,42.68,1.7957591153615338,100
btv1b84472995_f977,483r,GP3,67.00265999999998,43.81,1.3541470215451483,100
btv1b84472995_f978,483v,GP3,63.460630000000016,44.83,5.658704326490868,100
btv1b84472995_f979a,484ra,GP3,66.50919444444445,43.69444444444444,1.3101221386779043,36
btv1b84472995_f979b,484rb,GP4,66.71241964285714,42.464285714285715,1.3517530630353038,56
btv1b84472995_f981,485r,GP4,66.15302999999997,41.6,1.2860170930968895,100
btv1b84472995_f984,486v,GP4,63.218391304347854,40.858695652173914,6.257008978871754,92
btv1b84472995_f987,Unknown,Unknown,0.0,0.0,0.0,0
btv1b84472995_f991,490r,GP4,65.24150574712642,41.49425287356322,1.4047192355700617,87
btv1b84472995_f994,491v,GP4,62.10172999999997,42.11,6.4467766060397835,100
